wavelength[nm],transmittance
847.261,0.003286868
847.584,0.003275112
847.907,0.003289173
848.23,0.003301569
848.553,0.003290083
848.876,0.003356226
849.199,0.003309594
849.521,0.003279358
849.844,0.003346126
850.167,0.003324831
850.489,0.003324384
850.812,0.003277626
851.135,0.003344098
851.457,0.003308342
851.779,0.003297974
852.102,0.003250789
852.424,0.00328348
852.746,0.003279419
853.068,0.003288476
853.391,0.003317139
853.713,0.003339114
854.035,0.003382788
854.357,0.003247195
854.679,0.003420621
855,0.003344898
855.322,0.003320048
855.644,0.003354036
855.966,0.003386449
856.287,0.003386101
856.609,0.003405867
856.931,0.003460365
857.252,0.003371894
857.574,0.003360417
857.895,0.00330202
858.216,0.003333011
858.538,0.003347218
858.859,0.003389413
859.18,0.00343124
859.501,0.00337728
859.822,0.003278626
860.143,0.003353983
860.464,0.003348661
860.785,0.003380799
861.106,0.003423439
861.427,0.003382737
861.748,0.003479906
862.068,0.003293888
862.389,0.00339178
862.71,0.003389143
863.03,0.003505155
863.351,0.00336495
863.671,0.003361312
863.992,0.003365042
864.312,0.003417823
864.632,0.003337302
864.953,0.003408669
865.273,0.00338319
865.593,0.003444067
865.913,0.00344523
866.233,0.003499568
866.553,0.003384755
866.873,0.003407287
867.193,0.003434028
867.513,0.003336749
867.832,0.003349271
868.152,0.003476404
868.472,0.003374504
868.791,0.003405561
869.111,0.003490054
869.43,0.003380487
869.75,0.00345891
870.069,0.003416541
870.389,0.003468705
870.708,0.003483548
871.027,0.003445495
871.346,0.00347439
871.666,0.00343602
871.985,0.003389963
872.304,0.003462287
872.623,0.003478408
872.942,0.00343087
873.261,0.003548504
873.579,0.003477091
873.898,0.003526501
874.217,0.003451075
874.536,0.003508071
874.854,0.003488886
875.173,0.003413233
875.491,0.00345745
875.81,0.003397678
876.128,0.003497226
876.446,0.003460487
876.765,0.003493598
877.083,0.003405268
877.401,0.003455377
877.719,0.003480327
878.037,0.003549858
878.355,0.003640768
878.673,0.003552497
878.991,0.003420064
879.309,0.003483509
879.627,0.003556857
879.945,0.003452969
880.263,0.003482254
880.58,0.003543326
880.898,0.003566913
881.215,0.003538237
881.533,0.00351093
881.85,0.003493729
882.168,0.003592736
882.485,0.00343733
882.802,0.003545715
883.12,0.00356332
883.437,0.003440699
883.754,0.003621986
884.071,0.003579745
884.388,0.003518881
884.705,0.003520044
885.022,0.003483719
885.339,0.003499871
885.656,0.003516406
885.973,0.0034645
886.289,0.003522365
886.606,0.003642332
886.923,0.003470369
887.239,0.003692537
887.556,0.003392937
887.872,0.003529017
888.189,0.003567208
888.505,0.00347641
888.821,0.003494866
889.137,0.003428796
889.454,0.003528478
889.77,0.003578252
890.086,0.00353166
890.402,0.003549121
890.718,0.003560039
891.034,0.003610342
891.35,0.003642833
891.666,0.003574381
891.981,0.00352122
892.297,0.003532734
892.613,0.003628113
892.928,0.003594243
893.244,0.003587953
893.56,0.00361522
893.875,0.003763894
894.19,0.003667444
894.506,0.003514005
894.821,0.00360869
895.136,0.0036255
895.451,0.003470586
895.767,0.003575135
896.082,0.003644994
896.397,0.003585582
896.712,0.003633217
897.027,0.003580217
897.342,0.003558784
897.656,0.003601249
897.971,0.003573777
898.286,0.003626642
